id,agencia,version,nombre
DF_OCUCIUO_CIUO_SEXO,CL01,1.0,"Población ocupada según grupo ocupacional nacional y regional, según sexo (CIUO rev.08.cl)"
DF_OCUINF_CISE_SEXO,CL01,1.0,"Población ocupada informal nacional, según categoría ocupacional y sexo"
DF_OCUINF_CIUO_SEXO,CL01,1.0,"Población ocupada informal nacional, según grupo ocupacional (CIUO-08.CL) y sexo"
DF_OCUINF_CONUR,CL01,1.0,"Población ocupada informal nacional, según grandes conurbaciones"
DF_OCUINF_EDAD_SEXO,CL01,1.0,"Población ocupada informal, según tramo etario y sexo"
DF_OCUINF_LUGAR_SEXO,CL01,1.0,"Población ocupada informal nacional, según lugar de trabajo y sexo"
DF_OCUINF_NACION_SEXO,CL01,1.0,"Población extranjera ocupada informal nacional, según sexo"
DF_OCUINF_NTRAB,CL01,1.0,"Población ocupada informal nacional, según tamaño de empresa"
DF_OCUINF_PROVINCIAS,CL01,1.0,"Población ocupada informal nacional, según provincias"
DF_OCUINF_RAMA_SEXO,CL01,1.0,"Población ocupada informal nacional, según rama de actividad económica de la empresa que le paga y sexo"
DF_OCUINF_SEXO,CL01,1.0,"Población ocupada informal nacional y regional, según sexo"
DF_OCUINF_ZONA,CL01,1.0,"Población ocupada informal nacional, según zona urbana/rural"
DF_OCURAMA_RAMA_EDAD,CL01,1.0,"Población ocupada según rama de actividad económica nacional, según tramo etario"
DF_OCURAMA_RAMA_SEXO,CL01,1.0,"Población ocupada según rama de actividad económica nacional y regional, según sexo"
DF_OCUTPARCIAL_TP_SEXO,CL01,1.0,"Población ocupada a tiempo parcial nacional, según voluntariedad y sexo"
DF_OCU_EDAD,CL01,1.0,"Población ocupada nacional y regional, según tramo etario"
DF_OCU_NACION_SEXO,CL01,1.0,"Población extranjera ocupada a nivel nacional, según sexo"
DF_OCU_SEXO,CL01,1.0,"Población ocupada nacional y regional, según sexo"
DF_OCU_TRAMOHORA_SEXO,CL01,1.0,"Población ocupada nacional, según tramo de horas habituales y sexo"
DF_PAASA_SEXO,CL01,1.0,Población asalariada afiliada a sindicatos activos por sexo y región
